countyfips,year,month,pdsi,spei,drought_vals,Water Level Depth,date
8001,2000,1,-0.7,-0.25,0.5,,2000-01-01
8001,2000,2,-0.68,-1.24,0.0,,2000-02-01
8001,2000,3,-0.4,0.83,0.0,,2000-03-01
8001,2000,4,-0.79,-0.71,0.0,24.75,2000-04-01
8001,2000,5,-1.45,-0.45,0.0,,2000-05-01
8001,2000,6,-2.09,-0.7,0.5,,2000-06-01
8001,2000,7,-2.75,-0.62,1.25,,2000-07-01
8001,2000,8,-2.64,0.5,1.0,,2000-08-01
8001,2000,9,-2.2,0.43,0.75,,2000-09-01
8001,2000,10,-2.16,0.14,0.6,,2000-10-01
8001,2000,11,-1.93,0.71,0.25,,2000-11-01
8001,2000,12,-1.84,-0.01,0.0,,2000-12-01
8001,2001,1,-1.89,0.77,0.0,,2001-01-01
8001,2001,2,-1.79,0.59,0.0,,2001-02-01
8001,2001,3,-1.87,0.35,0.0,,2001-03-01
8001,2001,4,-1.91,0.02,0.0,,2001-04-01
8001,2001,5,-1.44,1.0,0.0,,2001-05-01
8001,2001,6,-1.93,-0.7,0.0,,2001-06-01
8001,2001,7,-1.74,0.29,0.0,169.0,2001-07-01
8001,2001,8,-1.81,-0.48,0.0,,2001-08-01
8001,2001,9,-1.71,0.16,0.0,,2001-09-01
8001,2001,10,-1.99,-0.68,0.0,,2001-10-01
8001,2001,11,-1.92,0.54,0.0,,2001-11-01
8001,2001,12,-2.2,-0.81,0.0,,2001-12-01
8001,2002,1,-2.28,0.25,0.8,,2002-01-01
8001,2002,2,-2.5,-0.26,2.0,,2002-02-01
8001,2002,3,-2.73,0.29,2.0,,2002-03-01
8001,2002,4,-3.91,-2.57,2.6,,2002-04-01
8001,2002,5,-4.82,-0.88,4.0,132.25,2002-05-01
8001,2002,6,-5.77,-0.67,3.25,,2002-06-01
8001,2002,7,-7.03,-1.92,3.4,,2002-07-01
8001,2002,8,-6.99,-0.86,4.0,,2002-08-01
8001,2002,9,-6.41,-0.03,4.0,,2002-09-01
8001,2002,10,-5.37,0.54,4.0,,2002-10-01
8001,2002,11,-4.93,-0.2,4.0,,2002-11-01
8001,2002,12,-4.99,-1.41,4.0,15.31,2002-12-01
8001,2003,1,-5.1,-1.81,3.75,,2003-01-01
8001,2003,2,-4.61,0.79,3.0,,2003-02-01
